id,fullName,contactNumber,emailAddress,residentialAddress,dateOfBirth,maritalStatus,children,faithBackground,areasOfInterest,emergencyContactName,emergencyContactRelationship,emergencyContactNumber,preferredLanguage
1,Gerald Majoni,263774299888,gmajoni@datascience.com,B3 Marlborough,1953-02-24,Divorced,Shannon Majoni|Regina Majoni|Junior Majoni,Pentecostal,Community Service,Ryan Hodges,Sister,980.544.9759,Portuguese
2,David Cunningham,8174559273,gtaylor@gmail.com,"161 Baker Rapids South Roy, KY 95398",1988-08-21,Widowed,Douglas Chapman|Hannah Reyes|Richard Russell,None,Volunteer Work|Community Service|Bible Study,Jack Vance,Brother,+1-618-872-3109x5386,German
3,Katherine Tate,+1-462-292-8829x8009,bethfuentes@hotmail.com,"21171 Carly Dale Apt. 264 Morenoton, VA 13530",1998-11-27,Married,Jason Jackson|Sheryl Munoz,Catholic,Bible Study|Volunteer Work|Community Service,Brooke Holland,Wife,+1-059-292-6427x8248,Portuguese|Spanish
4,Kara Moss,(218)098-5830x74202,martinezmary@hotmail.com,"2370 Khan Unions Port Lisa, MT 59337",1975-06-06,Widowed,Michelle Williams,Methodist,Volunteer Work,Johnathan Stone,Brother,(644)126-6255x46483,English|Portuguese
5,Jonathan Meyer,732.633.5362,marilyn75@gmail.com,"PSC 6588, Box 2647 APO AA 11162",1946-09-27,Single,Steven Shaffer,Protestant,Bible Study|Music Ministry,Sarah Hunter,Husband,001-648-534-7509x19358,English|German|French
6,Vanessa Golden,+1-902-030-0489x187,jordansusan@hotmail.com,"01990 Todd Parks East Stephanieton, DE 09017",1996-06-23,Single,Jean Campbell|Nathaniel Johnson|Laura Kennedy|Matthew Harris|Jaclyn Wade,Catholic,Community Service|Bible Study,Amy Johnson,Friend,794-445-2548,Portuguese|Spanish|Chinese
7,Stacey Carter,1305243699,deanjoseph@hotmail.com,"35854 Nathan Ridge Apt. 147 Port Brandihaven, VT 32558",1958-06-03,Single,James Rivera|David Soto|Stefanie Hatfield,Catholic,Community Service,Matthew Castillo,Husband,684.775.5579x2479,German
8,Christopher Parewa,(590)746-6281x66652,keith46@wilson.com,"6 Taylor Way Marlborough",1993-05-05,Single,Nicole Lang|Debra Smith|Thomas Dougherty|Kathleen Sullivan,Protestant,Outreach|Community Service,Jason Carlson,Brother,(144)356-4347x35690,Spanish|Chinese|English
9,Linda Woodard,503-023-7764,cpreston@phillips.net,"30714 Park Flats Suite 059 South Anne, VT 03371",1994-08-05,Married,Stephanie Jordan|Jennifer Mcfarland,Methodist,Outreach|Volunteer Work,Samuel Medina,Husband,001-725-863-4420x0614,Portuguese
10,Karen Lyons,706-168-7483,evan03@hotmail.com,"1555 Benjamin Key Suite 982 West Jeffrey, NY 50829",1952-07-01,Married,Dylan Graham|Jordan Scott|Karen Chandler,Baptist,Volunteer Work,Michelle Williams,Father,738-976-6260,Portuguese
11,Kerry Yates,616-614-9666x0821,hilleugene@yahoo.com,Unit 1706 Box 2782 DPO AP 84766,1996-12-05,Married,Gary Wise|John Brown|Kenneth Burch|Allison Kelly,None,Outreach|Volunteer Work|Bible Study,Patrick Johnston,Husband,665.997.7168,English|Spanish|French
12,Valerie Jeche,(509)806-9798x7182,robert19@diaz.info,"3826 Marlborough Drive",1985-04-01,Married,Casey Schmidt|Scott Ruiz|Christopher Walker,None,Community Service|Bible Study,Diane Brown,Sister,574-033-4249x7982,German|Portuguese|Chinese
13,Amy Ramirez,001-905-635-7551,uward@gmail.com,"579 Baird Ports Suite 212 North Lisa, AR 42862",2001-02-02,Divorced,Gregory Bishop|Nicholas Willis|Kelly Barnes,Baptist,Community Service|Outreach,John Diaz,Brother,+1-010-618-0688x636,French|English|Chinese
14,Timothy Hoffman,+1-943-591-1588,darryltaylor@yahoo.com,"70798 Daniels Glens Johnsonland, MA 18880",1970-05-17,Married,Thomas Thompson,Catholic,Outreach,Kevin Hull,Father,515.329.9619x1817,Portuguese
