id,fullName,contactNumber,emailAddress,residentialAddress,dateOfBirth,maritalStatus,children,areasOfInterest,preferredLanguage
1,Mitchell Stephens,77120101,ryanwallace@solis-alvarez.com,Unit 4294 Box 6133 DPO AE 57735,2/24/1953,Divorced,Shannon Stewart|Regina Collins|Matthew Smith,Community Service,Portuguese
2,David Cole,77120102,gtaylor@gmail.com,161 Baker Rapids South Roy,8/21/1988,Married,Jerry Cole| Nancy Cole| Spider Cole,Volunteer Work|Community Service|Bible Study,English
3,Katherine Tate,77120103,bethfuentes@hotmail.com,21171 Carly Dale Apt. 264 Morenoton,11/27/1998,Divorced,Tommie Tate,Bible Study|Volunteer Work|Community Service,Portuguese|Spanish
4,Kara Moss,77120104,martinezmary@hotmail.com,2370 Khan Unions Port Lisa,6/6/1975,Single,Coco Moss| Samuel Cole|Jill Cole,Volunteer Work,English|Portuguese
5,Jonathan Meyer,77120105,marilyn75@gmail.com,2370 Khan Unions Port Lisa,9/27/1946,Married,None,Bible Study|Music Ministry,English|German|French
6,Vanessa Golden,77120106,jordansusan@hotmail.com,01990 Todd Parks East Stephanieton,6/23/1996,Married,None,Community Service|Bible Study,Portuguese|Spanish|Chinese
7,Stacey Carter,77120107,deanjoseph@hotmail.com,35854 Nathan Ridge Apt. 147 Port Brandihaven,6/3/1958,Married,None,Community Service,German
8,Christopher Campbell,77120108,keith46@wilson.com,05255 Taylor Park Suite 686 New Pedrochester,5/5/1993,Married,None,Outreach|Community Service,Spanish|Chinese|English
9,Linda Woodard,77120109,cpreston@phillips.net,30714 Park Flats Suite 059 South Anne,8/5/1994,Married,Anne Smith| Dionne Jack,Outreach|Volunteer Work,Portuguese
10,Karen Lyons,77120110,evan03@hotmail.com,1555 Benjamin Key Suite 982 West Jeffrey,7/1/1952,Divorced,Bertha Lyons,Volunteer Work,Portuguese
11,Kerry Yates,77120111,hilleugene@yahoo.com,Unit 1706 Box 2782 DPO AP 84766,12/5/1996,Married,Gary Wise|John Brown|Kenneth Burch|Allison Kelly,Outreach|Volunteer Work|Bible Study,English|Spanish|French
12,Juan Byrd,77120112,robert19@diaz.info,3826 Alexandria Cliff New Matthewmouth,4/1/1985,Single,Tom Byrd,Community Service|Bible Study,German|Portuguese|Chinese
13,Amy Ramirez,77120113,uward@gmail.com,579 Baird Ports Suite 212 North Lisa,2/2/2001,Married,Ramirez Ramirez,Bible Study|Volunteer Work|Community Service,French|English|Chinese
14,Timothy Hoffman,77120114,darryltaylor@yahoo.com,70798 Daniels Glens Johnsonland,5/17/1970,Married,Andrea Hoffman|Thomson Hill,Outreach,Portuguese
15,Kevin Yang,77120115,comptonsandra@yahoo.com,99159 Julie Trafficway Apt. 025 South Charlesmouth,11/7/1944,Married,Nancy Moore,Music Ministry|Outreach|Youth Ministry,Chinese|Portuguese
16,Diane Williams,77120116,julie72@yahoo.com,Unit 5878 Box 3907 DPO AE 67826,12/4/1975,Divorced,Holly Reeves|Heather Juarez|Matthew Walker|Lisa Coffey|David Thompson,Music Ministry|Youth Ministry,Chinese
17,Michael Hodges,77120117,james75@gmail.com,2185 Compton Branch Suite 382 Sandraside,11/4/1989,Single,Kimberly Mahachi|Rihanna Mahachi,None,English|Chinese
18,David Rodriguez,77120118,kelly22@yahoo.com,3464 John Springs Suite 631 New Mary,1/22/1996,Single,Pedro Rodriguez,Youth Ministry|Community Service,Portuguese
19,Gerald Barnes,77120119,ronald43@yahoo.com,074 James Radial Apt. 058 East Manuelfort,5/29/1993,Married,Gerald Majoni|Valerie Jeche,Volunteer Work|Bible Study,Chinese
20,Stephanie Lester,77120120,ryanstephen@yahoo.com,3540 Karen Walk Suite 964 East Danielleberg,10/1/1996,Single,Don Lester|Perl Lester,Outreach|Bible Study|Youth Ministry,German|French
21,Linda Browning,77120121,joseph50@hotmail.com,00620 Shirley Court East Michael,7/6/1947,Single,Marie Browning,Bible Study,German|English
22,Rebecca Ortega,77120122,jschaefer@shah-reed.com,2384 Brian Light Mcleanshire,10/23/1992,Divorced,Daniel Ortega,Bible Study|Outreach,Portuguese|French
23,Tiffany Jones,77120123,denisecasey@mcdaniel.com,8434 Connie Villages Apt. 355 Port Karina,1/2/1996,Widowed,Jim Jones|Gad Joe,None,Chinese|English
24,Renee Peters,77120124,kyle81@medina.com,9604 Ana Cliffs Port Gracefurt,4/26/2005,Widowed,None,Outreach|Music Ministry,Portuguese|Chinese
25,Dr. Ashley Martinez MD,77120125,aliceflores@hotmail.com,254 Peterson Land Hernandezland,12/21/1951,Widowed,Russ Martinez,Community Service|Volunteer Work,German|French|Spanish
